season,date,teams,result
1966-1967,18.09.1966,Atalanta-Juventus,0-2
1966-1967,18.09.1966,Fiorentina-Lazio,5-1
1966-1967,18.09.1966,Foggia-Inter,0-4
1966-1967,18.09.1966,Lecco-Cagliari,0-2
1966-1967,18.09.1966,Mantova-Bologna,1-1
1966-1967,18.09.1966,Milan-Venezia,2-1
1966-1967,18.09.1966,Napoli-Vicenza,1-0
1966-1967,18.09.1966,Roma-Brescia,1-0
1966-1967,18.09.1966,Torino-Spal,2-1
1966-1967,25.09.1966,Bologna-Foggia,5-0
1966-1967,25.09.1966,Brescia-Fiorentina,0-0
1966-1967,25.09.1966,Cagliari-Milan,0-0
1966-1967,25.09.1966,Inter-Vicenza,2-0
1966-1967,25.09.1966,Juventus-Lecco,3-0
1966-1967,25.09.1966,Lazio-Torino,0-0
1966-1967,25.09.1966,Mantova-Roma,1-0
1966-1967,25.09.1966,Napoli-Spal,1-0
1966-1967,25.09.1966,Venezia-Atalanta,1-1
1966-1967,02.10.1966,Atalanta-Inter,0-5
1966-1967,02.10.1966,Cagliari-Bologna,4-0
1966-1967,02.10.1966,Fiorentina-Juventus,1-2
1966-1967,02.10.1966,Lecco-Lazio,0-1
1966-1967,02.10.1966,Milan-Mantova,2-2
1966-1967,02.10.1966,Roma-Napoli,0-2
1966-1967,02.10.1966,Spal-Brescia,1-1
1966-1967,02.10.1966,Torino-Venezia,0-0
1966-1967,02.10.1966,Vicenza-Foggia,3-1
1966-1967,09.10.1966,Bologna-Torino,2-1
1966-1967,09.10.1966,Foggia-Cagliari,0-0
1966-1967,08.10.1966,Inter-Spal,2-1
1966-1967,09.10.1966,Juventus-Brescia,0-0
1966-1967,09.10.1966,Lazio-Atalanta,1-3
1966-1967,09.10.1966,Mantova-Lecco,1-1
1966-1967,09.10.1966,Napoli-Milan,3-2
1966-1967,09.10.1966,Venezia-Fiorentina,2-6
1966-1967,09.10.1966,Vicenza-Roma,0-1
1966-1967,16.10.1966,Atalanta-Napoli,1-1
1966-1967,16.10.1966,Brescia-Vicenza,0-0
1966-1967,16.10.1966,Fiorentina-Mantova,0-0
1966-1967,16.10.1966,Foggia-Venezia,3-0
1966-1967,16.10.1966,Lecco-Inter,0-2
1966-1967,16.10.1966,Milan-Lazio,2-2
1966-1967,16.10.1966,Roma-Cagliari,0-0
1966-1967,16.10.1966,Spal-Bologna,1-0
1966-1967,16.10.1966,Torino-Juventus,0-0
1966-1967,23.10.1966,Atalanta-Spal,0-1
1966-1967,23.10.1966,Bologna-Lecco,2-0
1966-1967,23.10.1966,Cagliari-Fiorentina,1-0
1966-1967,23.10.1966,Inter-Brescia,1-0
1966-1967,23.10.1966,Juventus-Foggia,3-0
1966-1967,23.10.1966,Lazio-Roma,0-1
1966-1967,23.10.1966,Mantova-Torino,0-0
1966-1967,23.10.1966,Venezia-Napoli,0-0
1966-1967,23.10.1966,Vicenza-Milan,1-1
1966-1967,06.11.1966,Brescia-Mantova,1-1
1966-1967,06.11.1966,Cagliari-Venezia,4-0
1966-1967,04.01.1967,Fiorentina-Vicenza,3-0
1966-1967,06.11.1966,Lecco-Atalanta,0-0
1966-1967,06.11.1966,Milan-Foggia,3-1
1966-1967,06.11.1966,Napoli-Lazio,1-0
1966-1967,06.11.1966,Roma-Bologna,0-2
1966-1967,06.11.1966,Spal-Juventus,1-1
1966-1967,06.11.1966,Torino-Inter,0-2
1966-1967,13.11.1966,Bologna-Napoli,1-0
