season,position,team,matchs,points,wins,draws,losses,goalsScored,goalsConceded,goalDifference
1966-1967,1,JUVENTUS,34,49,18,13,3,44,19,25
1966-1967,2,Inter,34,48,19,10,5,59,22,37
1966-1967,3,Bologna,34,45,18,9,7,48,27,21
1966-1967,4,Napoli,34,44,17,10,7,46,23,23
1966-1967,5,Fiorentina,34,43,15,13,6,53,29,24
1966-1967,6,Cagliari,34,40,13,14,7,35,17,18
1966-1967,7,Torino,34,38,10,18,6,33,26,7
1966-1967,8,Milan,34,37,11,15,8,36,32,4
1966-1967,9,Mantova,34,34,6,22,6,22,23,-1
1966-1967,10,Roma,34,33,11,11,12,35,39,-4
1966-1967,11,Atalanta,34,31,9,13,12,28,43,-15
1966-1967,12,Spal,34,29,8,13,13,28,36,-8
1966-1967,13,Vicenza,34,28,7,14,13,26,39,-13
1966-1967,14,Brescia,34,28,7,14,13,22,40,-18
1966-1967,15,Lazio,34,27,6,15,13,20,35,-15
1966-1967,16,Foggia,34,24,7,10,17,28,49,-21
1966-1967,17,Venezia,34,17,4,9,21,29,57,-28
1966-1967,18,Lecco,34,17,3,11,20,21,57,-36
1967-1968,1,MILAN,30,46,18,10,2,53,24,29
1967-1968,2,Napoli,30,37,13,11,6,34,24,10
1967-1968,3,Juventus,30,36,13,10,7,33,29,4
1967-1968,4,Fiorentina,30,35,13,9,8,35,23,12
1967-1968,5,Inter,30,33,13,7,10,46,34,12
1967-1968,6,Bologna,30,33,11,11,8,30,23,7
1967-1968,7,Torino,30,32,12,8,10,44,31,13
1967-1968,8,Varese,30,32,12,8,10,28,27,1
1967-1968,9,Cagliari,30,31,12,7,11,44,38,6
1967-1968,10,Sampdoria,30,27,6,15,9,27,34,-7
1967-1968,11,Roma,30,27,7,13,10,25,35,-10
1967-1968,12,Vicenza,30,25,8,9,13,22,30,-8
1967-1968,13,Atalanta,30,25,10,5,15,26,42,-16
1967-1968,14,Spal,30,22,10,2,18,24,38,-14
1967-1968,15,Brescia,30,22,8,6,16,20,35,-15
1967-1968,16,Mantova,30,17,3,11,16,13,37,-24
1968-1969,1,FIORENTINA,30,45,16,13,1,38,18,20
1968-1969,2,Cagliari,30,41,14,13,3,41,18,23
1968-1969,3,Milan,30,41,14,13,3,31,12,19
1968-1969,4,Inter,30,36,14,8,8,55,26,29
1968-1969,5,Juventus,30,35,12,11,7,32,24,8
1968-1969,6,Torino,30,33,11,11,8,33,24,9
1968-1969,7,Napoli,30,32,10,12,8,26,25,1
1968-1969,8,Roma,30,30,10,10,10,35,35,0
1968-1969,9,Bologna,30,29,10,9,11,27,36,-9
1968-1969,10,Verona,30,26,9,8,13,40,49,-9
1968-1969,11,Palermo,30,25,7,11,12,21,32,-11
1968-1969,12,Sampdoria,30,23,5,13,12,21,27,-6
1968-1969,13,Vicenza,30,23,8,7,15,26,39,-13
1968-1969,14,Varese,30,22,5,12,13,20,43,-23
1968-1969,15,Pisa,30,20,6,8,16,26,44,-18
1968-1969,16,Atalanta,30,19,4,11,15,25,45,-20
1969-1970,1,CAGLIARI,30,45,17,11,2,42,11,31
1969-1970,2,Inter,30,41,16,9,5,41,19,22
1969-1970,3,Juventus,30,38,15,8,7,43,20,23
1969-1970,4,Milan,30,36,13,10,7,38,24,14
1969-1970,5,Fiorentina,30,36,15,6,9,40,33,7
1969-1970,6,Napoli,30,31,10,11,9,24,21,3
1969-1970,7,Torino,30,30,11,8,11,20,31,-11
1969-1970,8,Lazio,30,29,11,7,12,33,32,1
1969-1970,9,Vicenza,30,29,11,7,12,32,31,1
1969-1970,10,Bologna,30,28,6,16,8,22,24,-2
1969-1970,11,Roma,30,28,8,12,10,27,36,-9
1969-1970,12,Verona,30,26,8,10,12,26,30,-4
1969-1970,13,Sampdoria,30,24,6,12,12,22,37,-15
1969-1970,14,Brescia,30,20,5,10,15,20,35,-15
1969-1970,15,Palermo,30,20,5,10,15,23,45,-22
1969-1970,16,Bari,30,19,5,9,16,11,35,-24
1970-1971,1,INTER,30,46,19,8,3,50,26,24
1970-1971,2,Milan,30,42,15,12,3,54,26,28
1970-1971,3,Napoli,30,39,15,9,6,33,19,14
1970-1971,4,Juventus,30,35,11,13,6,41,30,11
1970-1971,5,Bologna,30,34,10,14,6,30,24,6
1970-1971,6,Roma,30,32,7,18,5,32,25,7
1970-1971,7,Cagliari,30,30,8,14,8,33,35,-2
1970-1971,8,Torino,30,26,6,14,10,27,30,-3
1970-1971,9,Varese,30,26,5,16,9,29,33,-4
1970-1971,10,Vicenza,30,26,6,14,10,23,31,-8
1970-1971,11,Verona,30,26,7,12,11,23,35,-12
1970-1971,12,Sampdoria,30,25,6,13,11,30,34,-4
1970-1971,13,Fiorentina,30,25,3,19,8,26,32,-6
1970-1971,14,Foggia,30,25,6,13,11,28,43,-15
1970-1971,15,Lazio,30,22,5,12,13,28,43,-15
1970-1971,16,Catania,30,21,5,11,14,18,39,-21
1971-1972,1,JUVENTUS,30,43,17,9,4,48,24,24
1971-1972,2,Milan,30,42,16,10,4,36,17,19
1971-1972,3,Torino,30,42,17,8,5,39,25,14
1971-1972,4,Cagliari,30,39,15,9,6,39,23,16
1971-1972,5,Inter,30,36,13,10,7,49,28,21
1971-1972,6,Fiorentina,30,36,12,12,6,28,20,8
1971-1972,7,Roma,30,35,13,9,8,37,31,6
1971-1972,8,Napoli,30,28,6,16,8,27,31,-4
1971-1972,9,Sampdoria,30,28,8,12,10,23,28,-5
1971-1972,10,Atalanta,30,26,9,8,13,21,26,-5
1971-1972,11,Bologna,30,25,7,11,12,28,36,-8
1971-1972,12,Vicenza,30,23,8,7,15,30,43,-13
1971-1972,13,Verona,30,22,4,14,12,21,36,-15
1971-1972,14,Mantova,30,21,6,9,15,23,39,-16
1971-1972,15,Catanzaro,30,21,3,15,12,17,34,-17
1971-1972,16,Varese,30,13,1,11,18,17,42,-25
1972-1973,1,JUVENTUS,30,45,18,9,3,45,22,23
1972-1973,2,Milan,30,44,18,8,4,65,33,32
1972-1973,3,Lazio,30,43,16,11,3,33,16,17
1972-1973,4,Fiorentina,30,37,16,5,9,39,26,13
1972-1973,5,Inter,30,37,15,7,8,32,23,9
1972-1973,6,Torino,30,31,11,9,10,33,21,12
1972-1973,7,Bologna,30,31,11,9,10,33,31,2
1972-1973,8,Cagliari,30,29,9,11,10,26,28,-2
1972-1973,9,Napoli,30,28,7,14,9,18,20,-2
1972-1973,10,Verona,30,26,5,16,9,28,34,-6
1972-1973,11,Roma,30,24,6,12,12,23,28,-5
1972-1973,12,Sampdoria,30,24,5,14,11,16,25,-9
1972-1973,13,Vicenza,30,24,7,10,13,15,31,-16
1972-1973,14,Atalanta,30,24,5,14,11,16,33,-17
1972-1973,15,Palermo,30,17,3,11,16,13,41,-28
1972-1973,16,Ternana,30,16,3,10,17,14,37,-23
1973-1974,1,LAZIO,30,43,18,7,5,45,23,22
1973-1974,2,Juventus,30,41,16,9,5,50,26,24
1973-1974,3,Napoli,30,36,12,12,6,35,28,7
1973-1974,4,Inter,30,35,12,11,7,47,33,14
1973-1974,5,Torino,30,34,10,14,6,27,24,3
1973-1974,6,Fiorentina,30,33,10,13,7,32,26,6
1973-1974,7,Milan,30,30,11,8,11,34,36,-2
1973-1974,8,Roma,30,29,10,9,11,29,28,1
